,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell160,54,78,0,43,8,4,30,19,7,3,6,0,1,9,8,3,11,5,15,150,31,63,4,7,49,13,53,0,1,0,5,101,13,44,1,7,2,2,4,0,3,8,3,3,8,0,26,1,8,1,16,5,6,50,9,5,7,16,9,0,11,0,18,10,9,7,5,27,0,4,5,11,9,1,12,1,15,34,2,0,3,45,1,9,2,17,0,123,482,6,27,0,1,0,0,0,0,3,5,7,17,10,0,27,2,15,7088,4,62,5
cell161,9,343,0,61,28,3,52,48,89,128,36,56,0,9,162,6,228,26,0,42,22,274,0,4,7,7,18,0,3,1,0,24,0,5,0,1,44,82,8,5,9,26,4,67,2,4,2,0,69,16,7,44,17,231,25,41,6,26,71,0,1,15,31,12,19,160,3,15,0,7,235,31,13,2,1,0,15,86,200,0,4,134,3,11,63,112,0,21,933,12,22,2,5,0,7,0,1,57,5,20,280,13,9,36,3,5,6902,15,13,39
cell162,59,45,0,38,11,0,74,77,27,6,4,34,1,18,8,5,9,2,0,289,82,76,2,0,145,22,53,0,2,0,9,100,0,6,0,18,4,1,5,1,0,2,1,6,8,1,45,1,15,0,5,5,15,148,7,9,6,26,10,0,45,0,17,12,20,13,1,19,1,5,12,4,23,0,7,2,13,51,5,0,5,21,13,13,0,41,0,119,571,4,45,2,2,3,0,0,2,9,0,3,13,14,0,23,2,10,1645,4,70,7
cell163,33,348,0,7,2,6,30,42,31,57,25,24,4,9,259,20,368,74,3,63,17,712,1,4,42,10,11,0,7,0,6,31,2,5,76,5,16,149,13,2,15,35,3,96,3,13,4,0,93,15,16,61,37,58,70,85,11,17,132,0,1,11,16,11,9,220,11,21,0,8,171,26,16,2,3,10,10,10,172,0,19,116,3,9,80,11,4,27,86,15,38,9,0,30,3,0,6,48,2,74,48,23,3,4,4,5,0,33,28,286
cell164,39,53,0,17,70,1,52,123,31,4,2,4,2,26,12,5,9,11,0,202,43,66,2,1,59,42,46,1,0,0,4,88,1,17,2,38,14,0,5,0,2,2,3,5,10,1,22,0,0,0,11,6,16,7,8,5,1,18,13,0,16,0,8,8,7,6,3,23,4,7,12,7,12,7,1,5,5,21,1,0,2,72,9,6,0,39,0,171,558,6,26,8,2,1,2,0,0,7,8,10,16,15,0,32,3,7,4688,0,79,9
cell165,27,90,0,10,0,1,17,34,15,20,33,30,11,18,178,17,213,51,6,66,29,382,5,0,45,15,37,0,0,0,8,38,0,15,15,3,6,61,12,2,3,27,2,35,1,2,0,0,32,3,18,33,19,6,41,24,16,16,42,2,8,8,48,21,31,146,7,14,0,13,220,54,14,0,10,6,20,7,3,0,5,119,6,18,20,18,0,46,71,10,42,3,5,230,5,0,0,17,0,127,47,16,0,13,4,0,982,6,21,273
cell166,18,20,0,13,20,0,19,32,4,8,7,1,0,9,5,10,10,5,0,232,27,116,1,2,68,20,83,0,0,0,22,66,4,17,1,27,4,3,3,1,2,8,1,3,10,0,49,0,10,0,5,7,10,32,8,8,3,17,7,0,8,0,3,6,17,11,0,12,3,3,10,12,12,3,15,1,10,53,1,0,3,26,1,3,2,22,0,136,505,2,49,1,1,1,1,0,1,3,6,6,14,13,0,17,7,13,8063,2,60,6
cell167,26,55,0,11,70,0,25,61,6,14,5,0,0,24,9,5,18,2,0,160,48,46,1,8,80,22,14,0,0,4,23,77,0,24,0,19,0,0,3,3,0,4,6,7,12,1,10,1,3,0,13,6,20,34,6,3,7,21,11,0,6,0,12,14,15,10,1,4,0,7,7,2,12,0,18,1,8,1,1,0,6,31,2,3,2,21,1,91,466,8,24,3,2,2,0,0,4,8,19,7,13,16,2,29,3,11,0,4,62,14
cell168,6,185,0,30,38,0,52,75,46,91,29,38,3,8,134,19,184,19,6,45,25,187,1,9,16,17,16,0,2,0,5,15,0,4,0,0,22,82,9,5,4,47,2,22,0,0,0,0,40,16,11,45,27,43,17,16,9,17,63,0,4,2,19,14,19,95,7,17,0,10,177,47,21,1,10,3,14,59,113,0,8,81,5,14,26,70,5,27,898,12,30,13,0,0,6,0,6,38,0,34,183,15,0,33,3,5,3,19,16,8
cell169,14,145,0,20,23,4,28,48,6,7,7,0,1,13,7,4,9,4,0,175,37,73,4,7,99,13,46,0,0,0,29,54,6,18,0,36,3,5,11,0,6,5,1,5,8,1,9,0,7,0,13,6,9,29,7,18,11,25,9,0,5,0,20,8,8,11,1,26,0,12,11,3,10,1,8,8,7,18,0,0,5,24,5,6,0,25,0,125,466,4,30,1,3,3,1,0,2,6,1,4,10,21,0,28,4,12,6589,9,71,47
cell170,2,274,0,38,37,1,92,69,64,86,24,63,2,6,142,8,178,30,33,31,14,187,0,11,15,10,16,0,1,0,6,16,5,13,0,3,3,67,8,2,9,42,0,38,2,5,1,0,52,4,2,29,8,67,12,42,4,20,57,1,6,6,13,13,21,85,16,20,0,8,115,33,18,1,0,4,9,115,87,0,15,72,7,10,50,52,4,20,692,10,20,5,1,0,0,0,6,49,2,26,199,14,0,41,5,5,195,32,15,41
cell171,6,277,0,103,19,0,90,67,48,136,37,163,8,4,211,6,286,52,0,22,12,246,0,7,20,14,1,0,1,0,9,14,3,0,1,6,21,101,13,2,8,64,1,114,1,0,3,0,82,13,5,43,16,43,33,44,7,10,91,3,2,1,44,9,19,133,8,15,0,12,267,51,9,0,2,3,18,132,101,0,4,82,0,12,49,214,1,23,805,15,11,6,4,7,3,0,8,95,2,25,249,12,0,54,3,9,3588,37,18,18
cell172,32,402,0,70,82,0,104,95,58,15,45,39,10,3,199,26,280,51,3,46,11,106,1,3,12,10,6,0,3,0,3,23,1,4,0,4,18,84,5,1,20,27,1,129,4,4,0,0,57,22,8,51,27,131,29,33,9,15,90,3,2,9,38,11,20,148,14,15,0,12,218,60,15,2,0,2,21,30,73,2,14,90,3,13,63,90,0,28,803,18,27,12,3,41,4,0,8,85,5,44,289,24,0,54,1,2,9446,44,10,16
cell173,36,101,0,10,0,0,81,22,3,34,44,178,9,3,146,26,84,18,0,121,44,644,0,8,87,15,41,0,1,1,8,55,14,24,11,5,9,89,7,5,4,42,3,63,9,11,0,2,59,30,9,44,30,118,38,7,28,16,65,0,12,6,31,25,32,124,32,21,0,8,195,81,31,1,5,9,17,5,35,0,30,207,5,20,47,2,9,84,104,25,75,1,6,329,6,0,2,42,3,68,32,19,0,20,0,4,7229,5,25,369
cell174,30,31,0,3,0,2,38,35,18,35,67,46,13,3,204,19,204,16,0,143,53,635,0,14,49,13,54,0,0,2,0,69,2,24,0,9,12,52,6,2,2,54,0,70,7,13,4,0,35,16,9,39,23,33,54,47,23,16,98,0,13,1,47,29,49,160,8,21,0,14,246,88,27,1,5,3,35,8,49,0,9,235,2,28,64,16,5,83,66,37,33,5,0,6,3,0,4,84,6,35,33,16,0,7,5,1,725,6,20,244
cell175,19,22,0,3,0,10,43,35,22,11,63,1,5,2,141,9,210,59,1,144,54,681,0,4,59,21,33,0,0,1,0,71,0,3,0,3,19,28,5,6,6,35,3,54,7,3,7,0,48,8,10,40,25,21,49,27,24,10,88,0,8,8,52,40,56,110,4,16,0,8,174,58,32,1,12,8,24,5,71,0,43,249,2,23,45,10,12,88,60,25,58,4,2,132,2,0,6,107,4,78,43,15,0,9,5,1,8268,1,20,111
cell176,50,6,0,2,0,3,46,35,21,23,38,25,3,9,200,7,281,50,0,135,45,695,0,9,29,18,67,3,1,0,9,52,0,32,4,0,14,69,6,3,7,29,3,84,10,6,3,0,74,13,9,30,12,3,60,47,28,24,80,0,16,12,41,46,48,143,5,27,0,2,276,113,24,0,8,7,21,4,161,0,27,429,7,21,18,35,1,96,70,24,45,11,7,0,1,0,17,70,3,95,28,17,0,25,3,1,3648,22,12,62
cell177,197,272,0,8,0,0,73,24,86,53,53,6,2,2,241,26,389,56,2,432,155,738,0,12,261,62,88,0,0,0,73,156,9,71,1,13,60,140,14,10,8,49,4,122,7,2,3,3,31,47,9,69,39,33,67,71,53,24,102,2,2,4,65,70,148,226,0,18,0,12,427,101,24,1,11,4,52,14,128,0,61,317,10,46,89,26,7,78,124,28,41,1,3,209,1,1,13,39,1,73,44,16,0,26,2,3,3959,9,16,301
cell178,22,46,0,21,4,1,19,54,24,22,5,6,3,7,14,5,12,5,4,112,23,101,3,8,54,10,20,0,2,1,15,59,0,0,0,14,6,4,4,0,0,8,4,3,14,0,8,0,2,2,7,3,22,34,18,16,8,12,11,0,6,2,15,11,7,12,1,9,5,10,9,9,14,2,6,11,9,39,2,0,2,17,6,9,4,36,0,80,472,11,30,2,2,0,3,0,1,11,0,16,13,8,0,15,1,18,4967,4,76,13
cell179,6,225,0,79,2,1,90,61,54,110,36,12,1,2,161,16,227,8,0,42,25,224,1,2,22,14,1,0,0,0,0,33,3,1,0,8,11,87,9,5,3,45,0,68,6,0,2,0,38,5,7,43,18,106,5,42,6,10,81,2,0,5,36,8,17,118,11,8,1,10,186,60,17,1,5,0,15,132,57,0,13,19,3,12,26,163,1,50,1035,12,25,9,4,5,3,0,0,46,6,17,295,18,8,44,1,5,9296,10,13,16
cell180,59,270,0,69,69,0,127,89,98,133,50,109,16,6,151,16,73,46,0,86,38,283,2,12,61,9,23,0,1,1,2,28,1,21,0,5,11,115,8,3,2,37,4,58,7,1,21,0,43,21,7,45,27,154,20,42,11,16,78,0,8,8,40,19,20,132,7,16,0,6,213,54,16,2,0,5,11,129,62,0,10,66,7,15,26,170,1,39,1105,12,39,6,5,33,3,0,0,34,18,14,305,11,0,77,6,0,4122,12,15,27
cell181,41,28,0,46,10,1,81,68,16,12,10,16,1,2,11,6,13,7,2,123,36,91,5,1,71,19,64,0,1,0,27,65,0,3,1,6,5,3,6,5,1,8,4,5,8,0,9,0,4,0,8,5,13,44,12,6,3,15,12,0,9,3,12,10,7,8,1,14,5,8,4,1,15,1,0,1,6,30,7,0,3,57,4,6,3,37,0,64,605,3,16,4,0,1,1,0,1,9,2,11,17,12,0,16,13,9,0,0,62,24
cell182,13,555,0,54,48,0,109,51,35,102,18,1,0,4,170,19,190,14,0,61,22,270,2,15,36,5,10,0,4,0,6,26,1,20,7,5,20,72,9,3,12,36,5,102,4,0,0,0,35,21,6,37,29,30,28,50,12,7,88,1,2,7,52,5,13,120,11,17,0,6,227,65,12,1,2,1,11,56,39,1,4,79,2,12,17,149,0,43,847,16,19,1,1,35,4,0,14,58,4,39,235,14,0,49,2,4,1906,6,10,19
cell183,26,82,0,26,35,6,18,30,23,16,6,30,0,12,10,14,17,4,0,123,19,57,2,9,35,20,13,0,0,0,0,35,0,16,0,6,7,7,6,2,1,7,4,6,7,0,9,0,11,2,3,9,12,12,9,7,5,28,6,1,1,0,17,7,6,16,2,28,1,3,5,1,16,1,6,2,7,16,2,0,5,28,3,9,3,32,1,71,427,8,11,2,1,1,4,0,0,8,8,6,13,14,0,35,4,10,8792,7,115,32
cell184,40,32,0,16,44,5,16,36,36,10,15,69,1,5,14,10,13,6,0,97,26,131,2,4,57,9,23,0,2,2,0,62,0,9,6,7,8,1,4,2,9,7,2,6,2,0,14,0,11,0,6,10,9,28,4,9,3,16,7,0,4,1,15,3,15,6,0,18,3,11,19,4,25,0,4,4,9,38,7,1,3,34,13,6,2,29,4,46,444,9,10,0,0,0,0,0,2,12,1,32,20,14,0,17,1,23,1830,7,104,18
cell185,69,130,0,9,0,0,55,27,10,8,57,86,5,6,302,30,160,31,1,185,63,395,5,3,48,19,35,0,0,0,6,79,0,20,0,15,22,174,14,3,22,51,0,136,24,11,27,0,58,34,10,65,49,50,87,45,45,21,127,5,4,28,52,46,95,225,27,32,0,16,315,130,52,1,3,3,46,12,100,2,56,99,7,60,68,20,2,122,83,48,58,12,19,213,7,0,8,48,1,18,43,18,0,10,2,8,164,5,8,165
cell186,36,509,0,64,69,0,66,124,65,96,44,24,1,11,222,4,344,58,0,62,24,300,0,3,31,13,24,0,0,0,0,47,0,14,0,3,21,154,5,2,20,69,3,101,12,0,0,0,57,59,10,63,32,110,17,46,15,19,106,1,3,8,59,12,14,193,8,23,0,11,279,80,19,5,6,2,17,100,29,0,2,68,2,10,52,127,8,66,1616,14,28,10,0,35,1,0,37,92,7,9,333,19,0,43,4,7,1908,14,12,9
cell187,39,44,0,20,10,1,21,36,20,10,3,15,0,9,9,3,10,11,0,101,25,87,0,7,61,11,33,0,1,0,0,60,1,8,0,25,0,3,4,0,0,3,6,7,11,0,10,2,7,0,4,6,19,23,10,8,6,20,17,3,10,1,7,5,15,2,1,20,3,0,8,5,5,1,8,10,8,37,0,0,5,35,3,7,1,6,0,88,394,9,28,9,4,1,1,0,3,6,6,5,18,17,0,27,4,15,1112,3,74,18
cell188,24,19,0,4,0,0,18,22,43,27,34,50,2,10,310,46,241,23,0,238,87,710,0,0,101,22,36,0,1,0,6,91,3,35,40,9,9,134,13,3,0,66,4,80,14,23,2,0,118,20,14,73,52,48,111,75,28,22,129,3,3,13,65,59,9,31,22,30,0,17,178,152,40,1,17,3,58,5,43,0,73,99,2,48,24,16,31,145,36,41,36,0,3,0,2,0,15,94,4,81,49,24,0,22,4,5,35,12,10,355
cell189,20,29,0,7,7,2,24,9,11,19,6,22,0,3,12,6,15,6,0,77,13,78,0,7,65,22,40,0,2,0,12,57,1,0,3,11,6,2,9,1,0,6,1,4,2,0,1,0,9,1,0,4,11,43,8,7,5,19,9,4,1,1,15,5,6,15,0,22,3,4,7,4,21,0,9,8,9,78,4,0,7,19,0,9,6,14,0,48,401,15,33,1,3,0,1,0,3,9,0,15,23,13,0,24,1,18,4063,2,113,16
cell190,11,27,0,6,0,3,44,32,0,65,48,345,4,7,302,24,352,81,7,185,89,676,3,22,122,50,97,0,0,5,15,107,0,26,0,6,31,200,39,1,9,66,2,138,12,16,16,0,42,16,2,43,41,48,65,54,58,25,110,4,11,39,69,65,99,232,33,27,1,14,299,131,60,4,54,6,55,3,198,3,60,118,15,54,113,27,1,114,42,49,88,8,4,736,4,0,17,183,5,69,55,29,0,24,3,5,0,42,10,96
cell191,62,98,0,6,4,12,44,45,54,42,59,0,9,11,318,23,411,64,1,325,114,522,3,0,95,60,85,0,0,0,20,130,26,68,4,7,13,143,10,9,4,54,2,76,5,12,1,0,55,19,7,55,38,39,60,29,66,17,107,0,27,17,60,69,126,269,15,25,0,8,217,125,52,4,17,30,57,9,37,3,102,285,1,45,25,28,3,150,64,71,76,3,7,1,1,0,4,11,1,62,43,21,1,18,4,3,6652,18,11,108
cell192,9,346,0,53,31,0,62,65,111,151,55,0,15,7,249,29,267,10,1,64,26,147,0,8,28,10,11,0,1,5,3,21,0,6,44,4,34,104,13,2,16,54,0,113,10,2,4,0,45,46,6,41,34,105,10,73,8,13,69,0,2,12,50,10,15,88,4,13,0,10,315,31,13,2,8,6,10,30,19,0,11,20,8,9,75,146,0,45,1710,10,39,11,2,2,5,0,39,57,14,32,342,16,0,24,1,4,155,9,13,45
cell193,12,59,0,22,25,1,8,41,10,20,9,4,1,12,11,3,13,4,0,115,27,62,6,0,57,16,25,1,0,0,22,53,0,1,0,22,3,3,8,4,0,5,0,7,9,0,9,0,15,1,13,7,15,16,8,12,4,20,12,1,4,1,11,8,12,14,2,30,3,8,10,5,8,1,4,1,6,14,2,0,7,26,6,7,0,10,0,76,395,3,38,1,2,1,3,0,1,8,3,3,21,13,1,33,3,13,485,2,89,9
cell194,2,270,0,96,55,3,73,69,83,141,24,146,12,4,131,26,69,44,11,86,35,192,1,10,58,11,15,0,6,0,12,55,0,12,5,11,27,83,14,4,11,33,6,55,9,0,4,2,38,32,9,34,29,155,19,37,9,17,53,0,3,1,29,10,10,96,2,19,3,9,183,45,20,3,0,3,17,35,67,0,13,94,0,18,47,91,2,36,1210,5,43,3,2,0,4,0,28,23,7,21,362,16,7,43,3,9,2325,2,9,12
cell195,17,35,0,28,9,1,26,28,15,6,7,0,0,11,14,4,12,6,0,101,18,96,2,7,53,13,42,0,2,8,5,44,3,2,0,15,1,9,5,0,0,1,0,9,17,0,13,0,8,2,5,9,11,7,8,14,4,9,12,0,1,3,18,3,15,14,0,12,5,3,10,8,15,4,1,4,10,19,5,0,3,14,4,5,3,10,1,84,330,13,45,9,3,0,2,0,3,13,1,3,15,9,1,12,5,10,9052,1,72,3
cell196,79,27,0,7,1,2,48,57,106,48,55,186,2,14,368,30,464,20,8,266,80,385,1,6,109,36,20,0,6,0,61,119,1,37,2,9,27,98,28,7,12,75,2,153,4,12,3,4,69,89,11,93,54,25,122,21,62,26,135,5,14,8,44,56,98,295,11,22,0,4,459,48,50,3,13,4,57,2,177,0,31,206,3,30,104,11,6,98,51,53,53,17,19,0,9,0,28,85,12,27,38,28,0,24,1,1,773,17,10,257
cell197,12,9,0,4,0,1,17,55,8,67,48,117,0,2,312,24,258,87,2,178,71,604,2,9,77,10,73,0,1,3,45,98,1,31,7,4,38,69,14,4,4,61,0,138,6,3,1,0,86,44,12,64,38,49,63,62,45,16,135,3,2,29,66,59,93,86,16,29,0,8,421,91,63,4,2,1,49,2,279,0,76,124,8,37,90,14,4,129,41,60,67,8,1,12,2,0,8,46,4,59,40,24,3,24,5,2,2121,30,19,94
cell198,29,267,5,83,0,3,103,84,53,115,21,2,11,3,156,8,203,48,12,29,16,275,0,8,16,4,20,0,12,0,4,19,1,10,0,12,16,93,9,2,10,41,1,57,7,0,5,0,54,13,4,46,26,62,20,54,15,12,70,1,2,8,30,14,7,111,2,16,0,6,178,58,12,0,2,0,9,104,70,0,10,27,1,11,14,55,3,15,972,11,12,3,2,0,4,0,15,51,1,39,345,18,12,39,5,4,6654,22,7,28
cell199,23,44,0,43,11,1,18,34,9,4,6,0,1,5,8,5,13,1,3,118,22,66,4,9,59,12,38,0,0,0,23,53,4,0,0,20,3,1,12,0,3,3,2,9,2,2,9,2,14,1,7,3,13,26,8,7,6,21,11,1,0,1,12,10,10,8,0,21,4,5,8,14,17,4,2,5,17,19,4,0,3,45,1,2,1,3,0,61,247,13,33,1,2,1,3,0,0,4,0,3,20,9,0,39,5,11,3535,2,113,19
cell200,60,21,0,12,0,0,30,45,50,46,120,253,5,5,413,18,505,61,0,250,97,457,4,13,80,32,106,0,4,0,47,95,0,11,0,9,22,223,28,9,21,96,7,157,9,38,5,0,35,11,11,72,68,41,109,84,43,16,159,0,31,34,68,55,80,267,28,24,0,12,472,55,55,1,4,16,57,5,82,0,52,166,4,40,94,16,45,125,50,63,58,2,6,1468,5,0,20,173,9,91,34,36,0,9,0,3,3969,17,9,412
cell201,26,232,0,42,5,3,90,91,54,134,40,17,0,4,101,11,184,12,0,45,26,216,0,2,15,8,25,0,1,0,10,32,2,2,0,2,13,52,1,5,5,19,4,33,3,1,0,0,26,4,4,28,28,30,18,21,6,15,67,2,3,4,32,15,14,111,8,22,0,6,137,48,17,2,4,4,19,85,56,0,6,66,7,13,45,170,0,19,1054,10,20,5,1,6,7,0,5,22,0,4,314,8,0,46,6,6,585,11,15,47
cell202,26,17,0,8,0,0,35,37,31,31,86,146,0,4,346,33,524,65,0,154,58,594,1,0,83,22,60,2,2,0,6,89,13,36,14,7,9,270,19,1,21,54,1,133,1,4,11,0,58,44,8,83,50,6,102,101,61,21,137,2,12,10,55,42,87,279,7,17,0,8,411,104,48,3,3,12,54,2,118,0,59,71,9,57,76,15,2,122,62,71,60,3,4,307,7,0,8,32,0,64,57,25,0,12,1,2,238,38,8,34
cell203,21,112,0,26,59,1,24,105,43,4,5,47,0,3,14,11,14,9,21,96,25,84,0,5,44,19,41,0,0,0,27,48,2,5,0,6,11,4,0,1,2,6,1,8,14,1,3,0,10,0,1,4,12,77,10,0,4,12,18,0,6,2,9,7,9,11,4,3,5,8,8,5,17,0,9,3,8,20,4,0,5,46,1,2,4,17,1,60,408,8,19,3,0,25,0,0,5,2,11,12,9,18,0,24,3,8,8809,1,100,17
cell204,42,22,0,21,0,6,43,24,12,48,91,144,15,10,337,24,255,82,0,180,52,474,0,8,78,42,13,0,0,0,68,70,6,3,7,4,7,94,22,5,7,47,4,136,5,9,0,0,31,115,15,59,48,42,96,53,10,28,114,0,13,34,65,53,71,254,14,19,1,15,312,76,48,3,8,1,49,7,31,0,59,237,8,45,65,27,19,112,77,51,40,13,3,156,5,0,21,105,1,111,58,27,0,14,3,0,185,17,4,158
cell205,26,37,0,1,0,3,46,25,32,69,74,17,16,6,299,27,361,97,1,202,64,635,0,9,110,20,82,0,20,0,17,74,3,60,15,15,6,141,24,0,12,67,2,100,11,27,0,0,99,59,3,51,32,24,104,67,40,22,125,1,13,2,60,44,73,245,10,28,3,13,419,62,58,5,5,10,47,5,224,3,64,318,4,37,59,17,20,134,87,52,38,10,9,54,4,0,5,20,6,72,49,34,0,20,2,2,2258,10,15,43
cell206,0,240,0,34,0,0,58,36,23,113,48,94,0,2,126,22,121,44,0,21,8,200,2,1,10,6,17,0,0,0,0,11,1,5,2,5,9,43,6,0,12,16,3,36,7,0,0,0,44,11,4,27,31,162,28,49,17,14,53,0,1,12,27,7,13,114,13,19,0,8,182,41,8,2,1,2,17,8,40,1,7,66,1,11,54,134,1,17,709,8,15,4,1,0,4,0,2,79,10,23,384,14,0,73,3,1,5330,12,7,16
cell207,23,46,0,12,15,0,80,107,32,11,6,0,2,14,8,8,20,1,1,76,16,111,5,8,65,7,28,0,0,0,3,54,0,4,1,12,3,2,6,0,1,4,0,7,8,2,7,0,6,1,9,4,10,18,5,15,6,21,22,1,10,1,12,7,14,9,2,16,0,5,10,5,18,2,4,3,7,26,2,1,3,22,2,9,1,13,0,104,413,3,31,3,2,36,2,0,2,10,4,28,13,18,0,20,6,12,7503,1,59,48
cell208,38,433,0,75,0,0,34,44,47,127,40,23,4,4,123,11,144,13,0,26,13,215,0,1,11,11,11,1,3,0,6,16,0,0,11,2,10,32,14,1,9,31,2,46,2,0,2,0,39,7,4,35,17,66,9,15,4,10,85,0,2,8,19,10,17,89,4,15,0,11,119,29,14,1,0,0,16,94,78,0,14,101,1,10,18,124,0,20,652,5,33,3,4,6,1,0,9,34,14,27,308,17,0,53,5,3,1128,24,4,40
cell209,0,656,0,23,0,0,82,86,87,104,37,14,6,4,140,18,201,63,32,18,17,308,0,2,24,5,10,0,2,1,2,20,0,6,0,1,7,100,10,1,6,46,0,58,0,0,0,0,70,14,10,37,26,91,10,43,6,19,69,0,2,1,40,9,8,120,5,13,0,12,219,75,12,0,1,3,10,70,39,0,3,52,0,12,47,186,3,17,1015,9,27,7,6,120,7,0,9,70,5,21,389,14,0,44,3,3,4636,6,2,78
cell210,32,490,0,75,1,0,88,77,22,132,28,4,7,4,128,7,181,38,0,21,16,238,0,1,14,4,18,0,1,3,1,13,0,10,0,2,8,42,11,4,3,30,1,41,2,0,0,0,30,40,9,28,26,133,21,21,6,15,72,0,6,9,31,8,13,110,11,18,0,7,149,34,11,0,0,3,16,82,37,0,6,100,9,6,35,154,5,16,1050,7,20,7,2,1,0,0,12,16,1,16,382,21,0,26,1,4,168,11,8,58
cell211,20,32,0,14,10,1,17,38,10,7,8,1,0,10,6,7,13,5,0,87,12,44,2,4,28,12,8,0,1,0,2,38,2,7,1,7,2,1,3,0,0,11,2,1,2,0,3,0,6,0,6,10,18,13,11,6,8,12,11,0,4,0,10,11,14,13,2,6,7,3,8,9,16,1,1,2,5,25,2,0,4,7,4,9,2,8,0,54,270,9,31,4,2,1,5,0,6,2,1,1,19,21,0,39,10,8,707,1,92,42
cell212,30,21,4,22,7,2,17,28,9,17,10,0,0,2,11,4,8,2,7,102,13,73,1,2,53,4,51,0,4,0,8,41,2,3,0,6,4,0,8,2,2,3,0,9,3,0,10,0,6,1,10,14,13,20,9,3,3,18,14,1,6,0,13,7,16,5,0,14,2,9,9,4,14,1,10,1,13,8,2,0,5,10,4,9,1,10,1,53,328,3,37,1,1,0,1,0,5,7,3,10,16,18,0,19,3,20,4499,3,81,26
cell213,44,574,0,68,0,1,94,66,27,118,27,70,5,10,160,16,48,29,0,25,16,249,0,9,18,14,10,0,1,0,3,16,0,3,12,2,23,119,7,4,9,26,1,29,6,3,0,1,42,6,12,37,29,103,20,49,5,15,64,0,5,10,38,8,11,111,15,13,0,8,180,16,15,1,3,0,11,51,40,2,8,38,7,15,34,88,0,16,952,10,23,0,0,0,1,0,20,13,6,21,403,24,0,47,1,3,2281,3,13,35
cell214,17,35,0,5,43,0,22,75,31,9,3,9,1,1,9,5,9,2,0,61,12,47,4,4,55,10,37,0,0,0,20,55,7,3,0,6,5,2,4,1,2,4,3,2,5,1,5,0,3,2,3,3,15,45,8,17,1,18,10,1,0,0,6,5,10,4,2,7,3,11,10,11,22,3,4,9,15,16,1,0,1,43,1,11,2,35,2,65,240,9,20,1,1,82,1,0,2,5,0,7,19,17,0,28,0,12,63,1,80,25
cell215,25,22,0,30,7,0,5,51,17,18,3,30,0,0,12,1,16,10,1,76,26,70,1,4,39,20,12,0,0,0,26,30,6,9,0,18,3,2,2,0,1,0,4,5,8,0,5,0,5,0,8,9,13,25,7,13,7,19,10,0,4,0,12,7,16,14,3,3,1,9,11,9,13,1,4,3,10,33,3,1,6,43,1,7,9,16,3,53,360,5,26,1,0,1,4,0,1,2,11,3,19,12,1,33,1,8,583,9,76,69
cell216,49,99,0,15,24,1,28,70,18,15,3,28,1,1,7,1,3,6,2,95,33,79,4,0,42,9,35,0,0,0,3,34,5,18,0,23,8,1,7,1,0,1,4,6,5,1,2,4,5,0,15,3,20,37,7,11,3,17,14,0,1,0,13,13,10,11,2,10,2,7,8,4,10,1,1,2,9,32,1,0,7,13,3,5,4,35,0,73,328,6,19,4,0,1,0,0,3,12,0,7,16,17,0,18,10,7,17,1,53,63
cell217,22,490,0,8,0,0,100,54,35,64,169,175,18,10,500,33,522,132,0,200,75,719,2,10,82,26,26,0,0,0,12,68,0,4,0,5,24,251,40,2,3,71,1,113,3,33,29,0,126,61,7,76,61,67,192,125,46,24,178,3,5,26,97,41,68,402,21,26,0,11,612,98,46,0,21,3,49,4,165,1,95,354,2,37,53,26,6,98,180,69,54,9,10,942,8,0,8,298,5,73,43,41,12,16,6,2,6579,9,23,502
cell218,9,21,0,6,3,2,5,25,10,37,118,256,16,1,414,15,189,83,44,148,46,594,0,2,88,18,19,0,28,0,0,72,0,7,38,7,16,194,18,6,22,97,6,111,3,3,3,0,118,31,10,74,49,34,102,86,57,23,146,2,3,29,38,43,80,279,31,20,0,7,487,190,22,4,2,7,47,5,223,0,62,340,4,35,78,27,29,125,76,43,32,21,15,94,4,0,19,215,7,79,38,38,0,28,3,3,3764,9,18,194
cell219,15,37,0,11,9,6,10,50,8,8,6,10,2,5,14,3,8,1,0,76,12,49,3,6,31,12,25,0,0,0,8,26,1,4,0,7,0,2,8,0,2,6,4,2,3,2,6,0,4,4,7,1,7,9,5,10,2,13,7,0,6,2,20,10,16,10,0,2,3,9,9,6,8,0,2,0,5,14,0,0,4,15,1,6,2,28,1,56,350,9,26,4,1,8,2,0,0,0,2,0,17,11,1,23,1,11,6500,2,55,7
