,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell201,5,5,0,1,7,11,0,73,174,8,27,47,4,0,60,25,53,13,146,91,9,5,5,0,12,20,0,5,22,2,105,4,153,101,59,17,74,106,3,1,16,52,2,124,23,4,222,21,10,27,12,43,1,44,61,34,1,17,55,8,82,24,7,0,101,1,26,7,24,11,160,4,0,8,53,6,7,1,0,13,4,8,11,6,23,6,26,26,5,1,38,0,18,131,4,11,26,55,14,14,0,0,0,39,20,7,7,84,14,102
cell202,3,25,0,25,16,96,0,366,96,14,9,111,0,0,38,5,53,24,26,1,4,2,3,0,0,5,0,116,23,80,4,1,14,11,28,5026,126,30,8,1,0,46,7,52,1629,6,13,7,7,17,11,33,2,11,65,15,7,323,51,320,14,4,8,0,3,0,42,507,18,13,107,10,7,85,4,2171,5,67,3,3,2,1,85,3,56,63,23,7864,11,1,14,0,8,50,8,0,9,62,3,2,23,0,2,19,19,11,15,1334,7,21
cell203,1,0,1,23,0,30,0,257,3,9,3,88,2,20,29,9,73,7,13,1,4,4,0,2,0,14,0,47,16,32,3,1,15,13,47,5130,103,51,10,2,12,38,0,86,1451,4,23,8,12,36,13,28,0,1,59,21,1,228,39,267,19,8,6,2,6,1,49,261,14,9,112,5,5,179,7,2262,11,57,0,0,0,17,65,0,48,44,12,8118,54,1,18,1,10,32,5,0,2,69,0,15,28,1,0,39,21,0,7,1633,9,21
cell204,131,0,0,19,0,3,0,114,352,21,20,105,3,0,37,5,75,5,363,409,78,9,0,0,199,71,9,11,23,0,801,67,920,277,41,114,104,99,17,2,1,40,11,138,71,12,51,26,22,45,16,45,5,42,54,15,7,16,71,21,207,15,22,0,95,2,45,27,16,12,196,7,7,12,267,72,3,6,0,4,3,4,21,6,36,9,16,226,6,0,62,0,10,302,2,1,16,89,3,26,7,0,0,72,20,1,14,11,54,254
cell205,3,73,0,16,186,57,0,248,43,25,5,126,0,18,48,3,48,1,24,1,6,0,0,1,0,8,1,54,7,45,5,0,9,13,60,4460,80,52,3,2,8,41,10,66,1302,8,17,6,13,6,14,38,3,97,50,17,3,96,61,94,14,20,7,0,0,1,48,370,8,7,110,8,7,8,6,2225,8,55,119,3,3,16,53,0,67,42,17,8005,36,1,19,0,7,58,5,1,2,68,1,9,20,0,1,20,14,6,19,503,5,16
cell206,1,3,1,13,98,8,0,126,237,40,22,49,2,0,27,4,35,1,300,240,69,22,1,0,106,12,12,4,19,0,1599,66,1284,356,38,178,101,29,11,7,3,36,13,79,60,9,236,30,7,18,50,39,4,69,49,19,8,28,46,29,211,21,5,0,57,6,46,32,8,12,74,8,6,24,252,66,8,41,0,1,3,14,21,6,37,13,6,218,4,5,83,0,6,302,2,6,4,71,0,20,8,1,0,25,35,16,8,11,132,366
cell207,0,33,5,16,0,38,0,261,68,5,10,81,2,0,59,6,54,14,22,2,5,0,0,1,4,17,0,34,23,53,7,1,6,14,29,5038,63,47,10,1,0,38,0,71,1337,11,16,13,4,5,16,38,2,62,72,29,4,254,29,235,20,24,5,0,2,0,45,310,11,10,102,6,83,42,8,1455,13,54,9,3,0,11,73,1,36,29,21,9099,25,4,19,3,3,84,0,1,9,47,0,19,28,0,0,25,14,0,10,1908,5,23
cell208,10,0,2,13,66,6,0,94,283,34,21,83,5,0,47,14,77,12,272,695,69,2,0,0,190,21,1,14,18,0,441,80,1160,340,33,139,118,84,20,19,1,46,7,92,60,14,1347,25,21,39,24,42,0,123,43,23,3,29,73,23,213,30,7,0,49,2,24,26,16,15,135,17,0,11,185,56,10,1,25,4,2,10,15,7,26,14,14,193,20,2,81,0,7,265,4,0,17,96,8,16,5,0,0,138,32,7,7,9,55,193
cell209,0,7,3,2,305,4,0,131,314,26,10,75,1,0,26,22,66,7,2170,1375,45,2,0,1,833,28,0,17,29,0,2183,169,1127,479,26,194,108,97,7,4,4,52,9,105,60,7,349,27,14,28,36,43,2,3,62,30,6,35,57,14,307,15,10,0,88,0,47,19,18,20,141,19,1,2,416,77,11,9,0,14,3,19,18,10,40,34,21,202,13,7,121,0,1,279,7,8,6,79,19,41,7,0,3,96,32,2,7,18,70,388
cell210,0,12,0,22,482,5,0,99,97,30,8,69,4,0,32,9,57,9,180,787,105,10,0,0,223,17,3,3,22,0,1534,7,1117,335,29,97,103,64,16,19,12,43,5,80,53,3,1397,18,12,31,24,30,5,0,43,26,17,30,47,9,212,11,11,0,64,0,26,28,14,13,140,10,6,8,275,58,1,14,35,3,3,18,23,10,29,9,4,176,23,1,94,0,13,87,5,4,16,75,0,21,3,0,0,60,30,3,13,9,208,287
cell211,3,1,2,2,209,9,0,53,172,15,8,24,0,0,49,25,87,11,90,63,6,0,1,0,0,26,0,5,5,0,168,5,147,86,43,5,73,66,12,8,0,52,3,56,14,8,185,26,10,2,9,50,1,2,64,17,7,18,25,12,83,50,2,0,42,6,27,9,16,11,183,3,0,7,31,16,7,5,1,10,7,3,8,1,51,4,11,19,4,1,24,0,4,148,0,4,15,105,0,34,2,1,0,38,16,11,7,22,17,253
cell212,36,2,6,0,3,5,0,110,216,12,7,84,1,0,70,5,58,11,239,422,70,21,0,5,324,22,70,7,15,2,1280,108,1064,345,39,242,37,51,11,15,0,33,15,38,65,10,967,31,3,31,45,23,1,76,44,15,3,27,45,14,274,5,16,0,72,1,26,31,7,7,85,6,8,11,245,59,4,15,0,3,6,6,22,6,27,15,21,237,9,2,59,1,4,329,2,2,8,58,6,3,1,0,0,13,40,7,16,9,49,258
cell213,2,0,2,1,17,6,0,97,226,30,20,59,0,0,19,2,62,4,752,341,59,2,0,1,427,34,20,8,27,2,1143,103,1053,261,35,214,94,82,13,12,0,41,13,66,36,9,1156,19,9,28,33,31,0,24,49,23,4,23,43,18,181,6,13,1,38,3,26,35,17,12,106,5,13,13,233,69,6,13,0,6,6,13,28,1,19,5,17,249,24,2,89,0,9,246,0,1,4,41,6,27,2,1,0,44,39,0,13,18,143,247
cell214,6,11,0,2,134,13,0,65,119,7,12,40,4,0,25,3,63,8,83,114,3,0,0,0,48,17,4,3,17,0,107,4,105,50,56,10,66,56,8,4,3,46,2,76,13,0,143,26,9,13,3,34,5,31,68,14,4,16,39,6,76,41,8,0,125,4,39,15,6,16,122,29,1,4,28,22,17,5,19,7,24,7,12,0,26,11,67,18,4,4,43,0,26,105,2,3,16,89,5,12,1,0,0,86,12,13,13,110,23,104
cell215,0,13,0,0,447,8,0,96,206,28,13,53,1,0,45,5,63,18,161,332,52,1,1,0,141,5,10,5,25,0,1418,17,880,340,44,265,103,37,16,2,3,41,4,52,81,4,437,12,5,33,19,29,1,63,50,11,3,33,54,35,255,8,15,0,20,2,60,28,13,8,126,6,4,6,271,58,3,10,0,1,2,11,20,1,42,11,16,214,21,0,79,0,6,315,1,0,0,58,4,27,1,0,0,126,34,17,7,39,172,328
cell216,7,38,1,21,85,97,0,402,0,14,10,122,0,0,57,15,59,2,20,3,4,5,0,0,8,10,3,70,20,46,9,3,15,11,53,7835,114,66,6,2,0,36,3,69,1688,4,7,9,4,3,10,36,4,44,66,8,1,298,54,313,13,15,3,0,0,0,27,318,10,13,88,13,2,56,4,2208,8,29,33,2,7,7,88,0,47,23,12,8789,3,0,19,0,1,46,4,0,5,79,0,4,7,0,1,23,28,17,11,1320,10,18
cell217,0,31,0,5,374,43,1,290,78,0,13,128,9,0,34,3,67,10,20,2,0,4,2,0,9,6,0,74,20,17,17,1,14,17,31,7214,109,57,4,0,0,39,5,61,1316,9,10,10,0,57,11,20,4,186,58,18,4,270,35,314,13,21,1,0,0,3,43,380,14,1,95,6,25,52,9,2064,8,49,41,0,0,5,104,1,61,16,21,8091,36,2,22,6,5,43,3,3,2,68,0,4,20,0,0,8,19,7,6,737,12,14
cell218,105,2,1,7,60,1,0,113,218,16,4,56,0,0,20,3,54,13,361,916,59,18,1,1,249,14,19,1,18,1,2062,62,1674,244,44,128,77,82,13,15,0,31,15,65,58,3,1588,17,8,6,46,31,0,41,47,13,3,30,63,7,342,6,5,0,99,2,40,35,13,9,138,4,3,12,518,52,8,6,0,7,8,9,26,1,28,9,20,211,18,2,79,0,9,237,2,0,2,61,19,33,3,4,0,61,41,7,10,12,81,253
cell219,0,14,0,6,0,13,2,100,324,10,13,67,1,0,44,7,68,7,870,1430,264,10,0,2,0,7,69,6,24,0,5520,59,1817,569,50,153,90,57,8,15,1,54,9,54,69,1,1427,27,6,20,37,45,2,50,41,18,0,33,55,5,450,36,5,0,62,0,29,32,16,1,120,8,3,8,740,74,3,16,25,12,5,38,8,2,22,17,3,166,3,1,111,0,2,113,6,3,17,52,2,34,7,0,0,114,37,2,12,16,46,240
cell220,0,0,3,8,162,9,0,66,190,12,17,39,2,0,26,0,63,3,298,87,14,13,2,1,0,18,4,7,12,0,179,23,129,98,39,16,77,59,7,8,5,57,5,73,23,17,190,47,9,46,1,36,1,69,43,20,5,11,65,7,89,30,6,0,54,0,16,6,9,12,133,3,10,6,42,14,33,3,2,14,13,8,12,5,46,13,17,29,3,4,49,0,24,106,2,4,17,68,3,10,3,0,0,25,9,5,4,165,13,231
cell221,3,12,0,10,138,73,0,242,82,28,3,59,7,0,18,6,63,3,15,1,5,1,1,1,8,9,0,125,17,24,7,0,13,13,39,8854,84,31,7,3,2,32,1,42,1681,4,11,6,3,8,14,39,1,119,53,17,3,241,36,270,23,15,0,0,0,7,42,294,11,10,101,8,16,72,0,2315,1,52,0,2,0,10,129,0,26,17,23,8104,8,8,7,0,9,33,4,2,5,52,0,5,25,0,0,28,26,0,10,2533,9,9
cell222,26,0,6,8,14,5,0,86,165,23,6,47,0,0,31,8,45,0,157,624,70,5,1,2,359,70,34,14,17,0,1976,36,1157,427,43,92,93,39,17,18,6,52,8,85,74,9,1546,14,20,46,48,37,0,41,53,14,2,35,62,16,279,24,13,0,75,0,56,27,23,21,129,38,9,15,363,61,9,15,3,3,2,7,21,3,35,10,17,179,2,1,77,6,8,105,3,1,6,82,0,17,2,2,0,102,44,2,15,17,69,388
cell223,1,9,0,15,59,9,0,94,184,12,5,46,3,0,39,15,78,3,370,321,38,4,1,0,220,71,16,9,18,0,1446,216,1030,263,39,171,89,66,7,6,0,56,8,75,59,5,379,33,10,39,48,39,0,27,55,14,5,31,48,17,283,38,9,0,46,2,37,17,14,9,110,8,3,18,263,54,1,19,4,4,4,20,15,1,11,12,17,179,18,1,85,0,7,184,1,0,3,83,7,22,1,1,0,28,37,4,14,27,24,341
cell224,0,3,0,10,199,3,0,104,266,26,8,63,1,0,49,14,62,12,1209,1005,64,4,0,2,547,50,27,5,28,0,2879,228,2320,374,37,154,96,102,9,17,9,57,6,37,70,1,230,21,31,27,58,38,1,46,35,12,4,23,79,21,370,16,3,0,70,0,55,37,12,6,114,12,2,9,570,73,3,4,0,11,6,8,20,3,46,10,20,178,4,2,115,0,4,347,9,1,5,80,13,20,1,0,0,102,41,4,9,3,127,194
cell225,0,1,2,11,0,13,0,61,136,10,8,48,2,0,21,12,51,0,88,167,12,5,2,0,2,54,0,14,14,0,205,16,170,112,41,3,66,52,2,19,10,36,17,42,18,6,96,33,18,10,12,37,6,27,53,16,6,26,46,8,99,31,8,0,48,1,36,4,9,13,92,7,0,4,42,15,20,6,1,10,6,3,19,2,25,23,52,20,2,3,52,0,20,62,3,6,13,77,0,17,2,3,0,37,10,4,20,270,18,179
cell226,1,18,0,10,264,104,0,221,68,29,0,50,1,3,17,13,26,4,17,1,2,5,1,0,1,6,0,104,12,26,6,2,8,15,17,1791,73,36,12,1,0,13,3,20,1277,4,22,8,7,12,21,26,6,96,25,7,2,181,19,184,18,15,1,0,0,1,16,282,30,7,61,8,2,89,12,2046,5,19,1,2,3,2,75,1,26,21,19,8584,9,7,12,0,1,16,5,0,3,34,0,9,26,0,5,7,14,5,4,608,5,17
cell227,5,0,1,9,14,13,10,57,99,13,20,28,4,0,33,2,66,9,67,98,3,0,1,2,0,20,8,13,31,1,160,24,229,100,42,9,53,34,3,5,4,32,2,77,15,1,258,39,7,10,8,39,4,68,38,17,7,23,49,6,88,12,9,0,118,1,45,14,9,8,114,19,0,3,66,13,25,13,34,14,10,12,6,0,55,19,55,21,9,17,60,0,15,128,0,3,18,84,2,17,0,0,0,24,14,14,8,31,13,195
cell228,0,4,4,1,0,7,0,74,215,23,13,38,2,0,41,14,46,17,157,1572,124,3,0,0,469,69,6,12,22,1,3115,150,2595,467,30,120,88,72,10,5,0,51,9,23,46,4,410,21,15,26,46,43,0,51,70,24,1,14,40,32,329,14,7,0,36,7,32,28,16,4,109,10,5,18,479,53,4,3,0,2,3,4,20,7,53,16,23,163,3,2,91,0,6,191,10,3,4,74,14,28,4,0,0,72,67,0,5,31,74,276
cell229,0,0,1,11,3,38,0,224,42,6,4,77,0,0,16,10,35,6,27,3,2,1,0,1,5,3,1,33,20,100,7,6,11,15,23,8671,94,14,7,1,1,24,3,41,595,5,13,6,6,24,11,16,1,100,26,6,2,155,24,156,21,4,1,0,2,0,10,317,17,6,71,1,3,31,4,1004,6,14,0,7,3,8,52,0,38,12,23,7401,14,2,8,0,8,30,3,1,0,35,0,16,34,0,1,30,18,2,17,1341,16,18
cell230,1,0,1,13,69,6,0,94,131,23,5,57,6,0,33,13,51,3,172,1171,108,2,1,1,657,42,23,7,12,0,2068,179,1342,418,38,128,51,39,14,10,0,50,14,65,59,11,822,20,5,59,18,29,1,69,57,18,6,9,58,14,329,16,11,0,111,1,43,20,15,4,104,8,5,9,520,75,12,8,0,3,0,40,22,1,26,8,16,138,5,0,87,0,6,426,3,2,14,78,7,23,1,2,0,62,66,3,9,28,136,301
cell231,0,8,3,7,9,36,0,226,53,1,11,65,0,0,21,7,55,3,31,0,4,2,0,0,0,3,0,67,8,32,13,1,7,21,17,7857,95,43,6,2,0,23,3,43,1114,5,18,9,2,1,16,35,0,155,32,4,1,135,14,78,25,7,1,0,7,1,31,216,6,15,66,19,1,152,10,816,8,33,0,3,1,3,77,1,14,22,8,8039,33,3,18,0,3,28,2,1,3,52,0,6,35,2,0,22,20,4,10,1165,1,18
cell232,0,5,5,25,41,68,0,228,17,13,2,44,3,12,22,8,45,0,23,5,5,10,0,0,1,1,1,80,19,24,10,1,12,14,19,8643,99,34,4,4,2,26,2,62,688,7,13,7,8,27,25,21,3,43,40,10,2,82,27,125,23,1,3,0,5,0,25,368,19,15,95,4,8,70,5,1349,6,14,18,3,8,7,142,1,10,22,24,9079,11,0,18,0,7,26,7,3,2,48,0,10,22,2,0,19,18,11,14,1804,10,12
cell233,21,50,2,11,366,65,0,333,32,13,5,73,1,12,32,2,39,4,13,0,3,0,0,0,0,8,4,71,8,44,7,1,12,16,28,7332,100,26,10,2,1,31,4,56,859,11,7,11,9,19,12,22,2,53,36,12,3,278,20,322,16,26,6,0,6,2,36,157,20,12,100,9,1,25,10,799,3,33,0,7,3,2,83,2,36,16,14,8998,52,0,23,0,9,31,3,2,3,49,1,4,17,0,0,19,28,7,15,538,10,19
cell234,11,1,0,5,0,10,0,95,298,18,31,58,3,5,66,27,83,8,159,1147,139,22,0,0,692,64,16,5,35,4,3533,172,2342,411,28,275,125,113,19,5,7,76,7,112,89,26,544,16,14,34,45,56,3,4,77,27,6,26,64,20,408,28,22,0,91,0,48,26,21,17,196,50,9,9,662,67,5,8,26,1,7,5,18,4,38,8,13,263,18,1,99,0,5,456,4,2,4,113,3,75,0,0,2,114,67,5,13,8,113,280
cell235,64,1,0,8,16,4,0,56,93,22,9,33,0,0,30,9,76,9,132,78,24,0,0,1,0,19,4,7,3,0,273,11,302,107,33,22,59,10,15,18,11,38,6,68,26,10,335,29,4,4,23,30,6,41,50,15,12,5,64,6,104,21,3,15,149,1,45,8,18,4,99,11,1,5,70,16,44,10,0,10,14,23,12,17,30,19,38,21,2,5,72,0,24,197,4,1,22,54,2,8,0,0,1,13,20,0,22,340,11,161
cell236,0,1,0,12,57,9,14,57,105,13,6,46,0,0,15,20,45,2,167,324,8,2,1,0,73,13,6,5,13,1,289,4,365,120,40,11,51,44,9,14,0,32,7,55,17,2,371,41,12,9,22,18,2,55,40,19,11,17,34,13,114,3,6,0,126,0,31,14,13,12,100,3,5,6,111,22,17,10,0,5,21,9,9,5,38,9,64,16,0,3,52,13,10,112,6,4,5,69,3,36,3,0,2,16,16,0,18,303,20,27
cell237,0,107,0,13,0,49,0,157,52,18,8,42,2,0,46,6,49,1,41,1,1,0,1,0,9,2,0,53,11,20,7,1,11,8,29,7053,79,22,4,4,1,22,1,28,345,4,17,7,6,4,10,25,1,140,38,19,2,131,41,157,17,7,4,0,0,1,42,182,25,13,82,29,8,73,11,1343,1,21,0,4,2,3,91,0,38,18,9,8258,31,4,13,0,0,31,7,3,2,46,0,5,7,0,0,10,20,2,8,1806,9,17
cell238,0,1,11,4,323,71,0,248,65,15,17,69,5,0,19,5,49,6,16,1,2,0,2,1,2,4,2,55,18,39,12,3,13,8,28,4980,88,37,3,7,13,35,1,54,574,1,9,9,8,14,10,34,0,163,45,13,2,98,33,209,16,29,5,0,2,3,43,180,13,11,89,12,3,81,14,1231,5,36,2,3,2,7,102,0,22,14,16,7823,5,2,18,0,3,34,4,2,1,49,0,11,21,0,1,31,15,6,10,847,5,18
cell239,34,0,1,9,220,3,0,76,120,10,4,49,0,0,11,13,41,10,112,92,5,2,0,0,41,34,17,12,16,0,252,17,223,109,24,60,64,29,2,9,11,38,10,66,19,0,198,46,8,26,18,24,2,59,40,21,8,8,22,7,68,19,2,0,104,2,42,3,7,19,80,22,2,4,72,18,16,2,4,11,11,2,13,14,48,25,25,43,9,7,75,0,14,100,2,3,6,58,0,12,0,0,0,36,18,12,6,241,10,113
cell240,10,0,2,14,521,9,0,124,301,46,10,92,2,0,71,2,129,8,806,975,76,3,0,0,586,72,0,8,35,5,2912,132,3109,598,42,221,130,36,19,7,0,72,6,146,34,4,1335,37,13,59,35,53,2,2,68,29,6,20,65,16,474,36,19,0,105,2,65,27,15,13,225,34,6,18,742,77,7,13,102,7,7,23,25,3,6,15,11,284,16,1,88,0,7,476,1,2,7,113,2,18,1,0,0,73,66,10,20,25,28,331
cell241,45,0,0,4,6,18,0,91,123,13,9,75,1,0,34,6,59,15,68,134,32,15,1,0,0,14,12,10,11,0,204,11,304,96,45,38,79,60,8,8,1,57,8,100,29,5,313,57,33,44,17,42,4,75,40,15,17,22,69,19,106,47,10,10,149,1,15,9,9,1,132,8,1,5,61,20,24,27,0,13,15,12,7,1,51,44,58,54,3,12,58,13,22,190,4,7,5,56,2,33,1,0,0,46,13,7,15,869,16,89
cell242,2,0,1,4,9,15,0,51,116,16,9,37,8,0,14,4,44,6,125,70,6,5,4,4,1,17,6,9,16,0,361,28,306,110,57,34,19,79,5,15,0,47,6,39,16,1,324,64,12,19,16,32,8,62,56,12,26,18,39,4,93,47,3,37,193,2,27,10,9,2,104,12,0,5,55,25,10,27,0,31,10,23,13,0,33,26,83,42,1,27,61,0,15,202,2,21,9,58,0,15,0,0,0,33,22,3,8,1018,12,203
cell243,4,0,4,1,13,41,1,166,40,20,9,98,0,0,31,5,47,1,20,2,7,1,0,0,4,0,2,34,15,62,2,0,8,15,23,4094,74,39,4,7,5,42,1,52,715,8,20,5,19,23,13,29,2,0,56,16,2,202,35,182,18,3,4,0,1,4,49,283,22,4,105,28,4,133,7,1225,11,9,6,1,6,3,52,0,19,6,16,7950,9,2,15,2,4,38,8,2,0,33,0,5,13,0,2,26,21,4,9,1683,16,14
cell244,0,2,2,11,20,80,2,205,0,3,9,71,2,8,33,7,57,14,12,3,10,1,2,1,1,2,0,86,20,65,10,0,16,9,33,7021,93,56,14,5,1,44,2,46,942,10,12,14,8,16,14,47,2,20,44,16,3,237,47,160,28,0,0,0,3,0,46,246,16,8,123,0,19,100,7,1316,5,8,0,1,9,5,69,2,28,8,28,7529,21,0,18,0,2,47,6,2,14,85,0,9,3,3,0,22,22,8,2,540,3,15
cell245,3,8,4,13,0,28,19,233,41,14,5,88,4,0,6,5,56,5,17,3,2,1,0,0,10,13,3,72,8,39,12,6,16,5,39,1918,67,67,6,1,0,30,4,42,752,3,20,4,5,13,13,18,0,57,41,7,3,160,42,182,10,13,4,0,7,0,37,319,12,6,108,7,2,57,10,1252,3,45,1,2,5,0,76,2,7,4,7,8033,9,7,14,0,6,42,7,1,5,57,0,5,20,0,2,26,15,6,2,1677,6,17
cell246,0,1,0,3,5,10,0,52,91,18,7,55,3,0,23,16,61,6,159,121,19,3,2,1,0,27,0,7,17,0,255,9,192,130,38,25,56,37,4,7,0,41,3,86,19,7,325,38,8,3,8,32,0,36,58,22,6,13,24,4,82,44,3,15,108,0,25,16,11,13,117,0,0,8,46,14,31,2,1,29,15,13,18,0,37,6,68,26,2,9,44,0,28,44,1,1,16,69,17,13,4,0,0,23,19,11,8,56,15,180
cell247,8,1,0,4,537,10,4,129,237,21,21,76,2,0,52,3,51,11,688,1629,31,0,0,0,433,93,7,13,27,0,3582,98,1691,403,45,492,86,41,12,2,13,40,8,62,42,14,2169,20,21,40,49,42,4,0,64,13,0,50,54,31,454,47,12,3,106,2,30,41,14,7,126,11,10,4,407,100,3,0,0,19,0,4,37,8,45,17,14,411,16,2,105,23,5,177,1,2,3,78,13,27,2,0,0,36,45,2,6,6,29,219
cell248,11,14,2,8,348,7,1,99,200,14,4,50,0,0,31,6,44,5,112,994,96,13,1,2,506,95,93,20,11,0,2387,125,1334,405,20,353,81,62,7,11,3,38,1,50,63,4,1722,15,10,32,35,30,4,102,47,17,7,39,53,23,339,24,4,0,33,0,51,45,11,6,134,7,5,27,701,83,3,18,0,5,3,32,22,6,29,14,13,326,12,5,91,2,7,282,1,0,4,68,18,14,1,1,0,19,54,8,9,13,42,261
cell249,1,16,2,14,0,4,0,120,231,19,12,68,3,0,53,9,71,6,327,1710,112,7,0,1,758,70,3,6,20,0,2086,77,2398,570,38,338,104,22,15,15,0,49,23,57,81,5,1344,17,7,24,58,39,2,36,62,17,5,36,55,16,394,31,7,0,56,1,32,22,15,12,112,6,15,14,541,87,5,31,1,3,8,29,30,1,36,9,10,365,23,0,89,10,11,436,3,0,4,53,4,30,6,0,0,42,66,6,12,10,57,258
cell250,1,7,1,8,130,15,0,112,244,6,6,69,1,0,35,13,37,5,211,1442,135,3,0,3,166,52,0,8,17,0,2514,168,2373,576,10,306,94,30,5,9,1,35,13,21,77,8,254,26,3,35,54,21,0,10,45,18,8,34,46,30,398,46,7,0,43,0,57,35,14,17,87,0,4,24,757,73,3,24,0,2,2,31,27,5,45,5,6,318,9,2,79,17,9,264,2,0,3,53,8,27,3,0,2,27,65,5,16,4,72,213
cell251,0,4,0,0,126,16,0,72,166,14,22,47,0,0,39,2,80,13,97,186,5,3,1,1,0,29,3,5,24,0,127,29,221,87,31,57,95,57,4,11,0,54,16,89,26,15,62,28,7,8,6,38,6,11,77,20,6,20,56,8,73,29,4,0,66,1,32,18,7,4,103,5,6,2,86,12,16,13,0,8,7,12,18,7,15,6,52,61,6,0,64,0,14,195,6,3,7,76,0,19,3,0,0,16,18,14,20,241,8,100
cell252,0,5,2,3,2,8,6,120,164,16,12,70,2,0,28,13,62,3,125,1553,114,8,0,0,392,31,10,20,16,1,1716,50,1410,416,40,376,90,43,12,4,3,28,2,72,89,17,1852,6,5,37,34,32,4,37,42,5,5,32,43,15,369,42,6,0,36,0,54,39,16,17,83,4,8,24,386,105,5,15,10,3,1,9,22,7,27,8,8,358,12,1,76,0,13,178,3,2,2,47,6,12,7,0,3,68,56,11,7,13,82,68
cell253,27,6,1,0,311,8,0,128,165,23,12,88,1,0,30,10,47,12,113,876,109,2,0,0,377,61,11,9,19,0,2762,108,2294,308,25,167,98,89,9,2,3,28,11,55,64,3,1296,17,11,47,50,28,1,104,64,20,3,48,51,20,304,27,6,0,46,0,44,33,13,3,89,11,13,35,158,95,4,33,11,3,4,18,25,7,55,4,13,386,15,3,75,0,6,312,2,2,9,57,2,25,2,0,1,60,66,14,14,21,63,116
cell254,0,15,0,4,123,10,2,111,214,6,2,40,1,0,24,7,51,3,130,1008,166,8,0,2,135,65,11,10,23,0,2598,116,1458,439,29,323,70,43,14,1,0,21,19,44,19,2,231,13,17,34,31,24,4,112,35,12,3,27,40,3,344,28,12,0,49,1,32,46,16,16,80,25,2,23,217,91,12,18,0,0,4,7,33,3,28,5,17,327,7,1,93,25,2,244,2,0,5,58,11,18,8,0,0,29,71,7,2,11,67,117
cell255,44,11,1,6,122,13,0,67,141,13,4,31,0,0,52,4,44,3,163,137,5,4,0,0,0,29,10,14,15,0,260,13,229,119,14,20,81,34,6,11,20,28,11,22,18,2,254,44,3,7,22,22,1,39,39,9,3,3,10,7,79,28,6,0,47,3,40,4,23,17,80,1,5,6,60,18,14,6,0,9,4,12,15,6,29,15,22,58,7,2,78,0,15,54,2,2,7,66,1,8,0,0,0,29,30,4,3,169,47,148
cell256,3,6,0,5,269,4,0,121,267,13,8,73,2,0,23,9,54,3,1368,1961,103,2,1,0,241,48,0,12,14,2,2095,75,1672,525,37,160,74,48,9,18,1,27,10,22,79,5,2121,18,3,35,54,18,2,5,28,16,2,38,33,36,199,4,12,0,81,7,15,40,5,16,81,1,7,18,612,93,6,43,21,25,1,47,31,3,46,17,14,360,9,4,151,0,18,223,12,2,2,44,4,42,5,0,0,26,72,5,18,4,52,175
cell257,78,23,0,2,21,11,0,136,258,30,2,77,0,0,39,8,53,7,1091,1334,96,2,0,0,659,39,18,18,14,0,4685,25,1764,394,27,165,89,27,11,4,0,24,19,37,77,7,1614,29,6,23,45,32,3,0,35,16,6,45,57,10,205,23,13,0,88,1,26,49,13,11,104,41,4,13,464,75,3,5,0,37,2,18,19,13,38,10,11,402,7,1,107,0,9,234,8,4,2,65,0,21,1,0,0,19,58,2,22,10,22,112
cell258,7,5,2,2,110,10,1,83,177,14,10,47,1,0,11,5,45,9,103,139,13,3,1,0,0,32,22,6,16,0,230,30,240,89,39,63,88,44,4,9,0,22,9,50,20,10,260,36,3,0,8,32,0,10,34,10,16,19,38,7,80,20,1,0,90,0,47,10,10,8,66,0,10,19,52,25,15,16,14,7,2,14,17,10,18,4,24,81,8,3,52,0,19,149,3,0,18,53,2,35,1,0,0,42,17,3,23,121,43,137
cell259,0,5,0,0,118,7,6,65,73,9,6,42,3,0,46,4,35,3,56,43,8,7,1,1,0,20,7,12,20,1,245,64,109,65,20,62,40,43,5,3,5,23,4,22,25,1,229,20,1,10,8,12,0,76,32,14,3,21,22,9,81,17,5,0,25,0,24,22,10,11,61,15,0,3,38,46,5,25,1,4,2,17,8,3,33,8,16,59,8,0,53,0,9,29,4,1,7,63,0,39,1,0,0,18,18,3,7,103,23,115
