,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100,gene101,gene102,gene103,gene104,gene105,gene106,gene107,gene108,gene109,gene110
cell158,5,42,37,12,86,38,20,11,1,6,5,23,3,25,11,19,0,16,1,7,6,33,1,7,22,14,5,8,12,17,2,2,41,13,3,3,19,3,8,6,1,4,14,0,63,0,1,12,0,17,9,0,10,70,8,10,31,0,16,11,10,1,0,33,29,9,16,48,6,12,6,16,0,12,36,6,4,15,7,10,8,102,1,21,9,75,13,235,10,2,0,1,4,305,9,3,5,2,0,0,78,493,10,0,10,28,91,15,26,92
cell159,37,86,24,0,154,15,19,17,1,15,1,43,3,42,11,23,2,10,1,49,17,36,1,10,47,9,6,4,16,34,6,8,58,22,1,0,22,8,6,13,2,4,3,2,65,0,0,6,1,13,3,0,0,50,1,10,5,0,6,8,14,0,0,14,19,6,10,16,5,7,11,16,0,11,18,24,7,16,10,5,2,94,4,9,5,34,10,128,2,3,0,1,9,391,23,3,10,1,5,0,90,679,3,0,13,12,62,25,51,85
cell160,11,173,18,0,23,24,31,12,6,6,4,44,6,24,17,12,3,10,5,20,25,78,0,8,12,9,4,8,12,27,6,3,48,7,2,6,2,9,2,15,3,4,17,4,55,1,2,8,1,18,8,0,1,210,2,9,13,0,11,17,10,0,0,22,18,5,13,16,11,3,8,9,2,21,15,35,9,1,12,6,5,110,1,16,5,16,10,84,0,2,3,2,4,385,11,4,17,4,6,1,78,563,2,0,9,18,460,28,38,116
cell161,3,75,164,10,312,8,50,7,10,5,5,23,18,28,64,29,8,15,1,23,33,36,1,8,0,16,21,2,18,29,38,0,100,24,3,0,26,79,18,17,3,2,11,2,53,3,15,21,9,66,10,1,1,481,7,21,18,0,40,24,15,0,0,37,40,27,67,20,1,7,35,42,0,10,49,46,19,104,25,8,8,45,4,11,27,50,15,165,115,2,1,0,8,318,11,1,14,20,2,13,46,350,4,1,14,22,133,2,14,12
cell162,6,29,152,0,169,0,34,52,1,83,6,208,27,31,117,33,11,70,2,8,11,95,0,11,13,11,5,8,23,60,6,3,16,7,0,0,38,103,5,14,5,7,20,1,138,9,0,50,5,111,6,0,11,283,4,29,113,0,70,0,3,0,0,24,72,48,80,69,8,2,49,43,3,54,16,202,46,80,66,70,130,152,1,43,42,211,149,1553,149,46,0,0,44,862,59,8,30,16,5,16,9,48,110,0,57,21,4,9,21,1110
cell163,3,21,135,2,88,1,27,19,0,84,20,161,19,4,98,23,17,50,0,1,7,55,1,14,0,6,1,3,20,80,12,2,13,12,3,123,22,162,15,16,5,9,12,5,190,13,0,64,2,89,6,0,25,154,16,36,137,0,49,10,3,0,0,94,78,40,75,56,11,1,85,42,0,68,15,187,131,102,10,62,25,116,14,44,68,117,255,1401,21,66,0,0,58,825,54,29,23,1,1,10,10,37,22,0,41,142,4,7,19,924
cell164,0,71,145,0,143,0,45,39,2,10,10,62,6,58,52,28,4,33,1,5,20,45,0,10,1,9,21,2,12,5,28,2,94,14,34,0,7,62,25,25,4,5,11,7,57,0,1,19,16,60,6,1,23,464,3,17,68,0,32,5,25,0,0,21,62,26,45,23,7,15,17,52,0,4,14,42,21,9,64,1,6,51,0,8,50,62,27,67,41,2,0,0,8,319,10,0,19,0,6,27,32,305,6,0,6,9,234,2,10,11
cell165,16,252,24,3,438,288,76,99,15,14,2,85,4,17,17,13,1,1,3,6,14,43,0,6,0,8,6,6,16,35,10,1,48,12,1,377,25,12,4,19,0,4,10,0,159,8,7,16,3,12,9,0,2,360,0,26,52,0,14,15,12,0,0,15,44,7,24,55,5,13,5,6,4,26,28,41,20,3,13,5,1,112,1,19,12,67,18,668,12,1,0,0,9,409,17,1,9,2,0,9,107,710,1,0,1,50,127,48,16,226
cell166,43,18,119,0,168,6,8,25,0,116,5,246,19,189,101,24,11,62,0,4,1,84,2,9,0,9,0,8,24,22,11,0,11,4,1,23,32,95,16,13,1,6,15,11,204,10,0,27,1,132,15,0,3,136,20,35,95,4,60,33,5,4,0,57,59,45,82,89,4,4,70,32,15,52,12,164,48,145,56,75,8,132,12,46,25,120,306,2024,8,58,0,1,23,901,55,7,17,5,0,16,9,47,26,0,72,26,2,5,10,1069
cell167,0,20,110,9,187,5,13,8,0,132,0,150,32,88,75,21,9,58,4,4,12,109,0,6,1,4,2,4,17,43,11,0,9,2,4,35,16,153,10,15,14,11,15,0,182,4,0,56,3,88,7,0,15,280,9,33,98,0,50,33,7,0,0,22,83,39,73,74,4,4,60,49,0,22,15,188,78,34,31,95,140,142,11,74,47,64,229,1008,3,50,0,0,8,874,42,20,14,1,10,5,12,21,141,1,77,81,4,3,6,1013
cell168,22,26,96,0,86,30,22,17,2,83,2,182,25,142,78,24,11,48,0,8,2,93,0,14,10,9,3,18,21,54,7,4,7,11,1,0,5,137,3,20,3,18,17,5,116,3,0,39,0,81,12,1,1,223,10,26,67,0,51,32,3,0,0,30,44,27,77,70,0,3,49,36,0,43,11,274,102,23,9,62,123,131,16,39,36,172,93,1299,36,31,0,0,23,847,60,20,28,4,7,36,15,36,86,0,104,92,5,6,31,1323
cell169,16,16,74,1,10,0,36,16,2,92,1,168,33,85,94,26,3,44,0,4,7,73,0,6,9,7,2,7,17,61,8,0,14,7,4,1,46,134,11,15,5,4,9,3,172,3,0,42,2,71,10,0,6,151,11,21,88,0,29,25,12,0,0,36,45,58,65,71,0,6,76,42,21,20,6,259,82,77,40,87,66,180,10,49,68,54,281,1572,190,59,5,2,38,875,56,5,23,7,2,43,10,51,123,0,118,109,1,7,1,104
cell170,4,79,160,0,244,98,35,8,13,6,9,41,11,25,57,23,10,23,0,44,19,40,2,7,95,25,33,1,16,19,28,0,111,27,1,0,21,51,7,19,2,27,13,17,55,1,1,18,13,39,16,0,25,211,5,15,49,0,22,12,12,2,0,25,38,26,64,44,11,10,39,45,7,8,18,27,10,37,24,3,7,89,0,5,30,91,11,110,13,1,0,0,4,256,10,2,32,6,3,15,40,173,2,0,6,25,195,6,41,14
cell171,34,16,97,2,117,0,25,37,12,83,13,175,30,1,95,27,2,38,0,9,9,83,0,11,2,7,0,8,23,39,9,1,13,1,16,6,31,47,15,14,4,0,18,3,172,5,0,40,3,83,10,0,18,156,9,28,80,0,55,11,8,0,0,39,49,52,79,62,1,1,12,59,62,38,2,268,88,107,76,43,168,113,10,77,67,231,232,1375,62,52,0,1,9,747,57,18,43,8,6,0,11,50,91,0,48,154,10,4,16,1355
cell172,11,26,155,0,275,0,3,7,1,91,8,95,37,97,45,32,1,72,4,5,5,110,2,12,0,6,0,23,28,47,12,0,10,3,6,47,30,158,16,18,4,4,12,15,110,11,1,54,0,82,11,1,11,320,9,30,73,0,38,25,4,0,0,34,64,66,68,88,2,3,33,52,52,48,9,215,9,25,26,42,16,137,9,31,56,303,191,1671,18,34,0,0,47,755,45,18,15,11,4,0,15,33,66,0,69,50,1,1,11,585
cell173,14,52,21,0,55,48,30,5,8,9,1,28,1,66,12,8,0,9,0,49,10,45,2,8,42,9,14,5,21,14,4,3,44,25,0,0,24,19,9,10,10,6,11,4,92,0,5,10,0,14,3,0,11,108,2,12,25,0,22,6,15,0,0,14,26,4,18,37,8,13,6,10,0,5,24,23,8,3,5,13,6,79,2,17,6,19,10,352,2,6,0,0,4,320,14,0,5,1,5,1,78,723,8,0,7,7,51,91,24,161
cell174,33,51,23,0,118,161,21,9,4,20,0,57,2,30,19,15,2,14,5,9,21,44,0,5,49,3,17,3,9,47,4,4,56,11,9,36,36,15,13,19,2,1,13,1,89,1,0,12,1,11,5,0,3,116,0,14,19,0,3,6,11,0,0,7,21,3,33,42,8,13,7,7,6,13,22,40,11,5,7,13,1,146,3,20,11,9,4,349,0,4,8,0,4,311,20,0,11,0,2,15,105,535,10,7,3,21,61,26,24,130
cell175,7,141,23,0,232,3,15,3,2,10,2,38,5,76,13,19,3,16,0,35,25,63,1,3,1,6,4,1,21,28,33,4,50,9,1,0,14,8,12,32,3,0,24,2,75,2,2,13,1,4,8,0,4,145,1,10,25,0,17,7,15,0,2,26,31,14,17,24,9,4,16,18,0,20,26,31,22,3,0,8,2,124,11,16,9,45,4,272,9,3,0,0,4,402,17,3,7,4,5,3,62,414,3,0,15,10,136,72,11,145
cell176,2,131,29,0,175,0,25,32,11,11,2,28,4,6,14,19,1,13,1,22,14,39,0,12,62,9,8,0,9,36,8,7,34,10,0,0,37,7,3,16,1,3,7,3,79,0,1,8,4,10,0,0,6,21,0,7,7,0,21,5,11,0,0,16,27,9,17,49,7,1,11,8,0,8,23,44,10,19,5,2,1,73,9,12,4,47,11,565,0,1,0,3,4,320,19,3,2,1,1,0,71,496,7,0,2,25,337,40,41,75
cell177,48,68,87,37,151,0,35,19,10,5,3,48,11,47,41,19,6,38,1,57,18,46,1,4,36,16,19,2,14,17,13,0,82,22,3,0,13,34,7,25,2,9,23,0,51,2,7,17,6,31,3,0,7,356,4,12,44,0,7,15,8,0,1,13,33,13,49,37,12,6,14,35,1,13,27,25,8,20,30,6,4,90,5,11,27,85,7,183,71,5,0,1,9,344,15,0,4,14,4,10,35,145,6,0,12,18,217,0,39,16
cell178,10,13,157,0,26,0,11,20,0,89,6,161,45,12,100,28,12,57,3,1,3,88,0,4,0,9,1,1,38,47,8,1,15,3,6,1,15,88,10,20,10,17,19,4,148,0,3,62,9,113,15,0,2,88,10,38,86,0,13,72,9,9,0,32,58,28,77,67,6,4,44,46,104,92,12,240,71,90,34,75,100,108,5,55,74,184,233,1895,26,58,0,4,41,642,56,4,36,4,6,2,10,29,84,23,80,60,10,4,11,968
cell179,39,157,44,1,77,0,38,55,11,14,1,87,1,59,5,18,1,16,4,13,19,68,1,13,42,10,6,11,14,8,12,7,52,9,0,23,10,21,5,24,6,2,3,0,81,1,1,15,5,12,7,0,3,247,1,10,27,0,11,16,10,0,0,10,30,2,18,47,6,4,11,8,2,7,19,67,17,12,1,5,1,119,9,15,6,29,7,450,0,0,0,2,2,454,20,3,21,1,11,5,73,736,6,5,5,28,59,118,117,95
cell180,1,21,148,0,77,1,18,62,5,190,6,179,39,5,130,23,19,59,10,2,6,73,0,11,0,11,0,6,19,13,10,5,10,5,6,30,11,129,11,19,5,14,20,6,123,10,0,45,13,80,13,0,2,345,2,35,87,0,54,17,2,0,0,53,68,53,73,107,2,7,49,51,92,79,6,305,11,65,26,57,171,87,1,55,57,157,439,3093,52,24,0,0,85,668,74,5,14,5,1,38,10,22,32,0,29,94,3,6,2,1254
cell181,0,82,30,10,134,58,21,7,8,9,2,77,5,71,12,13,6,8,2,21,15,92,0,11,4,9,7,3,23,2,0,5,30,19,0,35,11,15,14,21,5,4,12,0,86,1,0,11,0,15,5,0,8,196,2,8,24,0,8,16,9,0,1,14,29,8,16,46,4,1,11,11,0,5,31,45,5,8,5,7,0,131,0,4,3,42,2,358,6,3,0,0,8,543,2,0,5,0,22,3,38,770,4,0,2,58,63,194,8,106
cell182,0,185,33,0,86,0,32,12,17,5,1,69,5,20,15,16,3,24,0,16,13,80,5,5,2,12,8,2,19,13,8,2,56,33,4,1,38,14,3,9,1,10,18,4,105,0,3,19,3,14,3,0,4,166,3,9,17,0,7,5,7,0,0,30,27,6,15,43,4,9,3,13,3,17,36,34,10,22,4,10,1,143,0,18,3,24,11,202,0,1,0,1,6,518,12,1,13,2,13,0,45,469,8,0,8,56,593,89,15,42
cell183,22,128,15,1,25,0,9,6,2,11,0,27,2,14,7,20,0,18,0,19,15,53,0,2,0,14,6,2,24,19,21,0,61,15,7,18,5,11,4,12,1,3,13,1,65,1,5,21,2,13,9,0,5,45,2,16,12,0,20,16,20,1,0,11,40,8,12,25,4,5,7,7,0,13,24,16,32,13,2,13,8,113,3,9,9,7,10,73,2,6,0,0,3,364,23,1,6,2,0,2,67,347,7,0,10,28,37,26,26,118
cell184,9,18,144,3,151,0,9,2,0,71,8,124,25,28,45,25,11,33,1,8,8,56,0,4,1,8,1,8,32,65,3,1,10,3,4,0,4,104,5,11,5,7,11,5,116,0,0,44,5,73,7,0,2,145,11,11,78,5,42,11,6,0,0,33,48,28,51,97,2,5,31,47,34,38,9,292,79,59,35,55,134,99,4,96,45,61,124,1888,19,60,0,0,46,541,58,4,23,7,0,19,9,43,76,0,22,98,6,10,82,1603
cell185,58,238,151,1,277,11,83,26,11,14,1,26,2,19,48,15,3,19,0,64,13,47,0,4,1,29,15,1,15,3,13,0,92,33,2,8,23,68,8,20,10,7,19,3,64,3,0,10,3,42,4,0,1,161,2,13,62,0,20,19,15,2,2,20,46,31,30,23,6,9,20,17,1,8,71,47,14,15,32,7,10,65,1,20,15,32,25,198,15,3,0,0,7,298,14,1,10,4,9,22,67,320,6,0,7,26,45,4,12,13
cell186,0,70,107,0,253,15,63,33,3,6,5,49,6,48,39,17,2,14,0,22,52,27,2,8,70,32,19,5,10,31,22,0,109,24,8,0,10,44,2,6,2,0,9,0,62,0,0,8,0,29,9,0,0,160,6,14,49,0,15,9,15,0,0,23,42,7,28,45,6,7,10,16,0,15,58,42,22,26,7,5,5,53,7,9,13,118,11,516,3,12,4,0,15,173,8,0,15,0,13,38,45,378,2,2,7,24,55,5,79,10
cell187,7,46,39,0,136,1,48,14,4,15,2,112,15,75,7,20,2,12,0,37,21,97,2,6,79,12,23,4,15,24,36,3,93,28,0,12,30,11,10,21,4,6,13,0,87,1,6,16,0,16,4,0,3,233,4,14,18,0,0,20,19,0,1,33,45,6,23,45,11,8,14,14,0,32,36,47,19,6,6,1,0,224,3,7,6,39,5,649,7,0,0,2,3,774,10,1,14,2,9,5,57,659,1,0,4,72,156,38,33,58
cell188,0,87,25,1,160,0,31,47,17,13,1,60,5,83,13,18,0,6,0,26,25,70,0,13,0,11,14,3,19,43,9,3,76,18,2,20,23,11,11,20,6,3,14,2,92,1,8,28,3,17,15,0,8,298,2,16,47,0,11,9,25,0,3,21,39,4,16,57,6,9,11,9,1,22,19,80,7,17,2,13,0,125,6,11,3,52,6,551,13,0,3,2,9,409,13,2,5,1,0,0,62,598,5,0,6,56,39,77,3,19
cell189,7,54,95,10,137,7,92,5,15,6,6,35,12,36,64,21,12,22,0,37,38,51,2,8,1,14,21,3,21,21,62,0,109,26,4,32,25,43,7,27,6,4,22,5,69,0,0,27,6,49,5,0,10,334,6,8,17,0,25,26,17,0,0,31,61,19,33,22,4,7,30,15,2,7,47,52,26,1,22,9,1,84,1,35,27,58,17,265,57,3,0,0,2,290,10,1,15,4,3,17,57,464,0,1,8,28,34,2,12,5
cell190,39,634,148,0,269,328,49,25,12,11,0,25,0,45,32,20,3,20,2,61,30,22,0,4,0,12,39,8,17,13,18,0,141,35,1,22,12,61,20,13,7,1,7,1,45,1,17,25,5,42,15,0,7,290,3,16,22,0,23,6,30,0,0,20,52,13,38,28,2,15,23,13,0,12,49,66,30,11,19,13,3,73,6,11,23,116,11,122,32,3,0,0,8,249,10,1,28,10,20,10,62,539,3,1,4,11,10,5,21,12
cell191,2,360,32,3,50,8,37,8,3,16,1,43,8,2,15,22,0,1,1,74,27,65,0,8,0,18,6,6,19,45,22,9,65,24,0,0,33,16,10,25,4,1,16,3,78,2,4,14,0,18,4,0,3,146,7,19,17,0,23,9,21,0,6,7,39,3,17,31,9,14,11,11,0,19,47,21,8,12,4,7,3,85,4,11,4,23,19,527,5,4,0,0,15,434,8,3,5,3,19,3,63,455,5,0,3,113,186,82,12,129
cell192,3,49,33,2,126,115,30,7,22,17,4,70,7,9,8,8,0,17,0,30,19,81,1,7,10,8,15,4,11,48,27,8,84,30,3,0,19,9,8,10,0,2,20,0,82,3,0,18,4,13,4,0,2,36,1,11,36,0,5,21,18,0,0,19,37,6,14,48,12,12,5,9,0,19,25,30,16,8,6,6,2,106,1,11,9,34,10,346,0,6,0,0,17,336,9,0,2,1,6,3,43,476,4,0,2,22,165,36,72,65
cell193,15,332,24,15,86,1,23,9,5,10,2,42,2,1,12,14,3,2,0,7,29,60,1,3,75,12,26,7,15,22,6,2,78,13,1,0,21,5,12,22,2,4,25,0,74,4,4,22,1,15,12,0,0,135,4,15,52,0,9,16,24,0,0,44,55,5,17,25,11,6,2,12,0,15,36,25,25,21,4,12,3,120,5,15,6,48,18,246,4,1,0,1,3,353,15,5,11,0,2,7,66,640,13,0,3,28,339,21,12,44
cell194,35,30,73,3,0,1,16,17,13,44,9,115,18,94,51,20,15,38,3,6,8,63,2,11,0,7,0,1,18,46,4,0,8,3,18,0,40,98,8,11,3,17,11,10,151,1,0,45,7,79,5,1,6,230,3,22,69,0,2,11,6,7,0,60,72,23,52,56,5,11,13,29,0,30,9,168,58,35,30,66,50,79,7,49,43,100,184,1686,8,24,0,0,39,619,37,2,22,6,0,9,16,56,24,0,94,135,2,1,11,986
cell195,2,59,30,3,205,31,14,23,6,18,2,49,9,76,22,13,0,9,9,36,22,81,0,9,65,15,30,5,8,23,30,3,72,18,1,5,14,5,6,23,2,5,7,5,97,0,7,9,0,9,8,0,17,72,0,13,34,0,12,25,11,0,0,24,14,9,17,49,10,14,1,5,0,27,6,25,16,3,5,5,5,107,2,6,9,14,5,273,9,3,0,1,7,455,15,3,7,3,1,0,58,448,4,2,9,53,108,47,21,34
cell196,13,63,125,20,289,6,75,18,9,4,1,66,1,10,21,18,1,12,1,66,24,36,0,8,40,15,9,3,15,2,13,0,103,23,5,0,8,45,21,22,4,1,22,1,61,5,10,18,0,23,14,0,8,281,2,12,23,4,7,10,23,0,0,18,50,13,29,49,2,9,13,13,26,15,61,51,30,53,21,8,8,69,6,30,17,31,16,439,18,10,3,0,3,236,13,0,5,8,0,0,32,580,4,0,12,20,61,6,18,6
cell197,23,9,126,0,95,0,10,8,15,59,9,112,23,3,71,33,9,21,0,5,9,120,0,11,1,3,3,2,17,18,7,0,11,11,9,15,42,102,7,22,4,19,13,0,106,0,1,30,0,65,14,0,7,147,3,23,91,0,31,12,6,9,0,78,78,23,56,57,1,5,35,34,51,54,9,116,52,14,38,68,37,76,3,33,38,145,194,1219,47,8,1,1,54,526,34,1,31,4,4,6,8,67,81,0,64,18,1,2,8,904
cell198,4,20,105,0,85,0,21,5,0,53,9,68,20,0,74,25,9,61,7,0,3,71,0,4,9,6,3,4,16,39,11,3,10,4,12,140,12,94,9,18,7,8,23,8,160,0,1,71,0,81,10,0,12,123,5,23,126,0,44,3,2,0,0,28,92,27,86,62,7,7,59,43,0,16,10,256,4,32,54,69,63,133,7,33,16,100,129,1099,72,32,1,0,91,668,59,13,25,10,4,20,12,62,40,0,182,77,16,1,27,749
cell199,16,87,89,0,353,31,25,28,3,7,0,44,0,4,23,26,4,16,1,35,18,50,3,5,62,8,30,3,14,36,4,0,79,25,0,6,17,19,2,23,0,1,10,0,67,2,7,25,6,27,4,0,0,103,5,11,62,0,20,3,25,0,0,21,49,6,28,44,6,5,6,15,1,20,47,38,16,80,16,3,6,55,3,14,4,82,12,252,11,2,1,0,4,206,9,0,11,1,8,5,45,457,5,0,12,22,73,4,53,13
cell200,11,246,28,0,111,0,10,1,6,21,1,78,5,13,14,13,3,19,0,11,26,146,0,4,2,11,14,0,14,32,30,0,56,28,4,0,7,29,5,8,4,2,9,3,69,2,7,15,0,14,3,0,7,131,0,18,22,0,14,10,20,0,0,10,35,7,26,28,7,13,12,6,0,8,27,21,12,1,2,2,7,253,5,6,8,45,5,240,4,1,0,0,6,978,11,3,20,0,3,1,91,342,1,0,8,25,96,113,63,77
cell201,2,64,27,0,120,0,24,29,6,16,2,49,4,15,15,14,0,15,0,14,23,92,1,3,43,13,6,4,14,31,7,5,69,18,0,0,22,14,13,20,0,3,20,0,75,0,2,5,2,16,8,0,1,114,1,11,20,0,18,7,24,0,0,16,32,6,19,37,5,5,13,14,0,4,35,14,18,2,2,3,0,159,1,16,9,34,7,74,6,3,0,1,6,543,13,0,10,2,4,6,94,576,8,4,5,27,406,107,7,93
cell202,10,122,28,0,124,89,10,3,1,16,4,47,6,6,12,15,1,12,0,19,26,83,0,8,8,26,10,6,10,7,2,7,64,32,1,35,20,19,8,23,3,8,13,1,58,1,11,7,4,11,12,0,7,118,5,10,26,0,13,6,9,0,1,20,35,5,21,27,9,13,6,14,2,8,26,6,13,23,2,9,4,143,10,18,3,34,6,117,7,1,4,0,8,759,16,5,9,3,3,11,94,413,2,0,9,20,78,85,5,76
cell203,8,57,24,0,107,0,12,8,15,15,4,71,11,12,21,11,0,8,5,34,19,96,0,6,4,14,12,0,12,21,6,5,43,26,1,0,32,1,7,18,2,0,23,1,58,3,26,19,0,7,12,0,2,122,1,11,30,0,2,17,12,0,0,11,38,11,15,24,8,17,10,10,0,30,42,3,9,2,11,9,2,168,4,7,4,13,16,136,2,0,0,2,6,646,17,2,8,1,6,9,77,529,1,0,1,36,590,44,28,132
cell204,4,63,88,0,226,21,21,8,24,6,5,33,4,61,25,15,2,18,1,48,17,37,1,13,41,21,12,9,11,29,23,0,103,39,8,28,6,14,6,14,3,0,16,7,40,1,8,26,0,28,17,0,16,155,7,11,49,0,12,3,26,0,0,42,45,5,26,30,9,8,7,11,7,17,40,34,27,26,8,5,2,63,1,17,6,53,23,236,15,3,0,0,8,210,17,4,11,1,7,1,29,474,3,0,9,35,48,7,25,11
cell205,2,195,71,0,380,2,67,25,6,7,2,23,7,23,21,14,2,10,0,38,39,56,0,9,73,25,7,1,13,16,62,0,106,31,1,5,17,19,9,19,2,7,17,0,78,5,2,26,1,16,11,0,2,467,1,14,49,0,21,19,26,0,0,33,39,5,17,44,2,13,17,9,0,9,31,50,16,2,8,7,4,67,0,23,7,66,22,427,38,8,0,0,2,236,13,0,11,5,4,0,20,426,11,0,9,66,93,8,6,15
cell206,14,61,81,5,118,8,27,7,8,5,4,44,3,5,11,24,1,16,0,66,34,48,0,7,42,18,27,6,19,38,21,0,121,28,6,4,38,20,6,20,2,0,13,0,58,1,1,27,2,24,16,0,0,155,5,12,66,0,15,4,17,0,0,24,60,6,20,36,2,9,13,20,0,15,36,69,20,130,10,5,4,45,2,7,2,50,19,162,39,0,0,0,7,228,13,1,12,0,17,4,19,412,6,0,21,83,140,3,25,11
cell207,7,62,72,17,123,1,37,5,3,1,3,37,5,39,9,18,3,12,1,43,47,40,2,10,98,21,16,3,13,7,25,0,123,35,0,0,13,32,9,22,4,16,17,0,52,1,13,21,0,25,12,0,1,199,4,11,64,0,15,7,34,0,0,59,60,17,18,31,1,5,11,7,0,5,75,52,18,17,10,5,0,59,2,14,10,103,21,42,12,1,0,3,9,196,13,7,4,4,4,2,59,412,9,0,15,111,34,3,110,9
cell208,3,249,52,1,22,68,26,3,14,17,3,49,1,0,11,15,1,7,0,35,14,57,0,3,3,12,15,1,16,25,16,5,66,34,1,0,23,16,7,20,5,15,14,1,50,1,6,9,3,9,16,2,8,174,3,12,41,0,1,9,21,0,0,20,49,17,19,24,4,17,9,7,0,13,26,26,15,9,8,9,4,161,1,1,17,37,12,177,14,1,0,0,1,692,22,0,2,6,17,4,47,558,6,0,2,27,167,87,20,85
cell209,1,178,50,1,262,27,33,18,12,18,1,81,13,43,19,20,4,19,0,22,16,96,6,5,2,28,4,4,15,9,27,3,84,18,1,2,17,34,11,14,2,12,7,0,66,1,0,15,0,18,21,0,3,143,2,6,51,0,13,8,19,0,0,17,43,11,22,32,3,10,6,9,0,30,29,13,20,34,7,7,0,164,4,3,3,31,3,391,12,3,0,0,7,779,10,0,12,1,40,0,130,310,1,0,8,41,397,167,19,48
cell210,0,20,151,75,3,0,24,46,4,61,16,163,37,8,131,26,24,67,7,1,5,51,0,8,20,9,1,12,22,62,13,0,13,2,13,435,10,217,10,16,3,55,14,0,149,2,3,38,16,91,5,0,8,341,14,34,85,0,59,5,7,12,0,47,61,66,94,56,2,3,89,38,35,27,12,82,53,27,66,19,54,99,6,14,53,119,105,1268,25,24,0,1,33,681,51,2,23,14,4,0,11,84,37,3,71,65,2,2,35,615
cell211,8,134,56,22,63,0,15,46,15,11,4,87,2,19,13,11,1,18,0,31,31,82,1,7,11,23,5,7,20,15,43,28,122,22,6,117,53,17,11,22,0,1,13,0,95,0,10,8,1,13,8,0,16,190,2,13,31,0,19,20,22,0,1,22,42,7,10,50,9,2,7,11,0,17,29,50,5,6,5,8,6,135,0,17,12,32,5,391,10,1,0,0,9,601,11,2,8,1,0,1,80,677,2,2,4,63,105,80,2,102
cell212,24,19,128,0,3,11,42,13,3,67,9,166,22,123,122,33,18,76,0,0,3,73,0,12,24,11,3,11,26,60,4,2,13,2,11,22,66,230,23,19,1,7,14,10,142,6,2,37,10,75,14,0,7,201,31,42,108,0,69,5,9,0,0,56,63,67,107,74,0,12,105,56,0,35,6,100,60,35,89,62,42,75,9,2,84,275,155,1216,59,36,0,0,48,620,50,1,51,6,0,1,12,68,43,0,113,43,4,1,38,822
cell213,0,116,94,0,65,182,31,8,0,7,1,29,8,54,8,18,2,16,0,74,47,35,6,9,91,19,42,5,19,14,38,0,178,71,3,0,30,17,3,18,3,4,24,3,74,2,13,27,0,9,13,0,6,125,2,10,22,0,10,27,27,0,0,36,78,6,16,34,1,6,4,17,0,11,81,61,38,52,14,6,4,43,3,23,15,90,12,206,1,3,0,1,10,227,17,4,13,2,54,0,67,476,0,2,9,31,159,4,6,9
cell214,5,126,83,0,157,0,21,16,0,5,3,32,6,17,32,14,1,11,1,39,42,18,1,8,50,32,13,3,16,38,85,0,232,46,4,14,26,13,1,22,0,1,26,0,75,1,3,40,1,19,12,0,15,131,2,12,63,0,0,9,38,0,1,45,61,7,11,35,3,5,12,12,0,23,90,62,44,4,5,11,3,84,1,34,6,81,5,136,10,1,0,0,13,277,13,3,8,2,3,4,60,369,2,0,15,47,97,1,26,21
cell215,12,24,110,0,4,0,46,31,0,96,23,194,21,1,133,21,30,68,0,2,7,58,0,17,13,9,2,12,26,13,3,1,19,5,13,63,44,259,11,20,2,11,20,41,103,9,0,38,0,123,10,0,5,365,12,40,94,0,31,0,5,1,0,37,67,50,105,49,2,2,96,55,0,35,12,233,72,74,32,58,26,85,19,109,54,156,98,824,11,46,0,0,87,592,51,11,22,25,5,2,13,49,3,13,56,109,8,7,19,1681
cell216,17,23,121,0,116,0,2,20,2,58,4,144,30,2,145,25,26,49,1,0,3,27,0,7,12,15,4,28,21,15,13,0,14,7,19,1158,13,100,21,23,2,21,12,0,94,1,3,60,3,132,4,0,14,195,6,44,93,0,28,21,4,2,0,37,83,82,78,47,5,12,82,41,30,19,9,215,76,34,37,65,155,83,15,6,36,57,172,1265,7,55,0,3,14,623,48,20,37,9,4,4,9,21,33,0,107,27,1,5,5,566
cell217,8,55,29,0,220,0,18,8,4,10,1,31,6,59,13,16,1,16,3,9,17,84,3,5,91,14,18,2,18,23,3,11,69,15,2,10,17,7,15,21,2,4,15,1,86,0,2,9,1,18,7,2,5,96,7,6,49,0,24,22,23,0,0,19,41,6,20,38,8,9,7,12,8,21,22,51,5,8,0,3,2,144,0,17,6,31,4,274,7,2,3,0,0,538,9,2,11,1,12,1,39,522,6,0,14,75,90,51,36,38
